,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2011-01-01,-2.1315313198821,-2.30414834852422,-1.06594,-0.98296,-0.86383,-0.44355,-0.47154,-0.43208,-0.3571,-0.99108,0.16479
2011-02-01,-1.57877909635677,-2.43260721700764,-0.95502,-1.02563,-0.8061,-0.44355,-1.16163,-0.45019,-0.25743,-0.88351,-1.11136
2011-03-01,-1.4141173568429,-2.48278318855971,-1.15406,-0.9812,-0.74837,-0.41558,-0.82559,-0.66496,-0.25743,-0.98854,-0.59463
2011-04-01,-1.82941557688117,-2.35212566547511,-1.50449,-1.15075,-0.8061,-0.41558,-0.57357,-0.66496,-0.45677,-0.96055,-0.87803
2011-05-01,-1.68137935336231,-1.78204294061088,-1.342,-1.37191,-0.8061,-0.30373,-0.78011,-0.59337,0.73032,-0.65179,-0.36976
2011-06-01,-1.70567835847422,-1.77997571373297,-1.32824,-1.37191,-0.82725,0.55535,-0.7211,0.196,-0.3571,-1.03789,-0.96283
2011-07-01,-1.04312001612609,-1.77352063679595,-1.16575,-1.49702,-1.06429,-0.13596,-0.42359,0.97636,-0.3571,-0.51907,-0.34149
2011-08-01,-1.0317013152376,-1.10490270351335,-1.08873,-0.89877,-1.00656,-0.21985,-0.24683,2.4216,-0.45677,-0.6241,-0.9063
2011-09-01,-1.25346877548468,-1.61843798580739,-1.04314,-0.89877,-1.12202,-0.30373,0.73013,2.84576,0.11099,-0.57475,-0.82797
2011-10-01,-1.76943208517423,-1.79283860299289,-1.04314,-0.85609,-0.84906,-0.49947,-0.53081,1.58094,-0.45677,-0.93919,-0.7997
2011-11-01,0.225344798219935,-1.09478116111592,-1.06594,-0.51699,-0.70907,-1.19724,-1.09687,10.06332,-0.45677,-0.93919,-0.17836
2011-12-01,-0.377682192363173,0.186635256227553,-0.81267,-0.04385,-0.01083,-1.28113,-0.89812,5.30664,0.82999,-0.9112,0.64285
2012-01-01,-1.20190721634119,-1.48900352925181,-0.97781,-0.64386,-0.18675,-1.0015,-0.26527,3.33567,-0.3571,-0.54676,-0.08835
2012-02-01,-1.43939183320613,-1.35769494812998,-0.86689,-0.56143,-0.30221,-0.35966,-1.12064,2.38719,-0.45677,-0.54422,-0.28495
2012-03-01,-0.040863442677227,-0.775290549868838,-0.59083,-0.22409,-0.12902,-0.24781,-0.4718,2.13794,0.26223,-0.4392,-0.25668
2012-04-01,-2.23690708695688,-1.09340645124785,-0.88969,-0.39363,-0.35995,-0.91761,-0.43957,1.92579,-0.45677,-0.65179,-0.00354
2012-05-01,-1.40501453264884,-0.8388759814072,-0.97781,-0.73991,-0.53587,0.79766,-0.45556,2.48445,-0.45677,-0.57475,-0.31322
2012-06-01,-1.06650314617831,-0.429411311301533,-0.86689,-0.35095,-0.4204,0.54057,-0.70511,2.71704,-0.45677,-0.57475,-0.59463
2012-07-01,-1.35118568349721,-0.264898516350218,-0.5255,-0.56318,-0.30221,-0.49817,-0.1743,2.63644,0.73032,-0.25967,-0.31322
2012-08-01,-1.72157818300106,-0.139019853912333,-1.0234,-0.30652,-0.44494,-0.69391,-0.0403,1.90724,0.63064,-0.51907,-0.25668
2012-09-01,-1.63315859365118,-0.536789851275518,-0.86689,0.12219,-0.30221,-0.88965,1.52199,1.57467,0.63064,-0.5254,-0.17836
2012-10-01,-0.796923544721519,-0.834983268976104,-0.95502,-0.18141,-0.70907,-0.33816,-0.31102,1.05602,-0.45677,-0.13044,-0.15009
2012-11-01,-1.861734158854,-1.05202291686243,-0.95502,0.03082,-0.53314,-1.08539,-0.93035,0.98967,0.3619,-0.5254,0.58953
2012-12-01,-2.12958337394718,-0.757721575183294,-1.17686,0.28163,-0.7668,-1.2252,-1.1694,1.73743,1.00804,-1.0961,0.35946
2013-01-01,-1.87433927477422,-1.3349655841329,-0.80156,-0.09722,-0.27496,-0.94557,0.00027,1.54572,-0.25743,-0.31535,-0.28495
2013-02-01,-1.86563749035389,-0.895810354026578,-0.88969,0.37417,-0.45088,-0.25427,-0.79609,1.36805,-0.3571,-0.28482,-0.22842
2013-03-01,-2.20249357990409,-1.43429475320494,-0.97781,0.19744,-0.27496,-0.88965,-1.04564,0.49131,-0.45677,-0.17725,-0.14361
2013-04-01,-1.28931638670037,-0.814590117750961,-0.59083,0.54489,-0.59088,-0.7778,-0.88214,0.34799,-0.25743,-0.42038,-0.03181
2013-05-01,-1.66117857862555,-0.420050196580173,-0.59083,0.19861,-0.45088,-0.08003,-0.39655,0.36842,-0.45677,-0.02287,0.22133
2013-06-01,-1.84429163637834,-0.375438152332105,-0.42569,0.19861,-0.7668,0.03182,-0.27607,0.29916,-1.17577,-0.17979,-0.28495
2013-07-01,-1.91107085107267,-1.02628550933171,-0.88969,-0.01537,-0.53314,-0.49817,-0.80715,0.09873,-0.55645,-0.10529,-0.53809
2013-08-01,-2.16863726468296,-0.443805467581464,-1.48475,-0.05337,-0.53314,-0.63799,0.1642,-0.38572,-0.08835,-0.57475,-0.20015
2013-09-01,-2.05138928505941,-0.546191851797909,-0.86689,0.32373,-0.53314,-0.13596,1.58074,0.17265,-0.08835,-0.20778,-0.15009
2013-10-01,-1.54502995416359,-0.29325677989679,-0.59083,0.46245,-0.59088,-0.24781,0.07254,0.33205,-0.25743,-0.20525,0.13132
2013-11-01,-1.01160912530759,-0.00523142909287971,-0.59083,1.01318,-0.59088,-0.24781,-0.23577,-0.185,0.01132,-0.02287,0.94728
2013-12-01,-1.85752269211611,-0.22274730460325,-0.70175,1.17864,-0.41496,-1.08539,-0.89566,0.02976,0.11099,-0.54422,0.75394
2014-01-01,-1.5034948680272,-0.140043836701851,-0.33814,0.88047,-0.09904,-0.08003,0.03223,0.2809,-0.3571,0.23653,0.6178
2014-02-01,-1.55964085657204,-0.139130411976741,-0.23833,0.32665,-0.27496,-0.108,0.20926,0.06425,-0.45677,0.23653,0.47773
2014-03-01,-1.58423264933902,-0.0311167377613326,-0.69064,1.17805,-0.27496,-0.02411,-0.07226,0.13584,0.14126,-0.02287,0.08126
2014-04-01,-1.25460631082282,0.16587518674663,-0.88969,1.22073,-0.41496,0.02536,-0.57111,0.10338,-0.05808,0.08215,0.22261
2014-05-01,-1.405510069364,0.296390277459939,-0.77877,1.1383,-0.59088,0.05978,-0.49885,0.33626,-0.3571,0.6315,0.39293
2014-06-01,-1.69790533128257,0.224529811949961,-0.66785,0.63141,-0.59088,0.22756,-0.38083,0.14004,-0.55645,0.18718,-0.48156
2014-07-01,-1.81728728898169,0.755415296700184,-0.69064,0.53712,-0.53314,0.39533,0.10722,-0.30963,0.01132,0.39724,0.688
2014-08-01,-0.559028323093383,0.628406666124525,-1.75875,0.70491,-0.35722,-0.38632,0.77,0.19352,-0.08835,-0.07476,-0.11534
2014-09-01,-1.59756575561262,1.20612507473134,-0.39178,1.13538,-0.35722,0.86294,2.47709,0.05034,0.01132,0.49848,0.73286
2014-10-01,-1.98213363954032,0.97599613209732,-0.59083,1.69504,-0.41496,0.75109,0.52633,-0.12964,-0.42997,0.60351,0.39293
2014-11-01,-2.5105401726869,1.12632756782424,-0.47991,1.89833,-0.04769,0.63924,-0.3083,0.1057,0.01132,0.52901,1.01228
2014-12-01,-1.84279607290487,1.20776871337667,-0.61363,2.2832,-0.0081,-0.19834,-0.82313,0.51669,0.47941,-0.17725,1.32523
2015-01-01,-1.79927215232798,1.15730956979843,-0.57972,2.02946,0.04963,0.86294,-0.21978,3.43313,0.06492,0.6315,0.7026
2015-02-01,-2.13422491790767,1.08501200517352,-0.57972,1.68202,0.19235,0.77905,-0.48532,1.02172,-0.40317,0.89344,1.12536
2015-03-01,-1.72673314546892,1.46149985165638,-0.30366,2.11482,0.13462,0.91886,-0.29231,2.22844,-0.42997,0.89344,0.56055
2015-04-01,-2.55335039895547,1.71906204912678,-0.39178,1.4312,-0.1813,1.39965,0.28671,0.51871,0.01132,0.89344,0.47575
2015-05-01,-2.13504715715759,0.986458360318059,-0.30366,1.47564,-0.41496,0.31144,0.52521,0.33873,-0.42997,0.78841,-0.14361
2015-06-01,-2.05662235483795,1.18108305282855,-0.57972,0.74759,-0.35722,0.42329,0.31868,0.76782,-0.45677,0.58215,-0.14361
2015-07-01,-1.95583540408326,1.70169854951503,-0.40347,0.70608,-0.29949,1.45015,-0.02185,1.39199,-0.45677,0.79474,0.88787
2015-08-01,-2.17277972307322,1.26983493876426,-0.5483,1.00967,-0.38176,-0.19058,0.90646,-0.63265,-0.55645,0.14037,0.27914
2015-09-01,-2.24509912547011,1.53529967514145,-0.76501,1.09562,0.05235,0.94682,3.5764,-0.41368,-0.45677,0.63403,0.98401
2015-10-01,-2.19532514894325,1.73771124938279,-0.11572,1.8159,0.30415,0.83497,1.90443,-0.41368,-0.42997,0.23907,0.80721
2015-11-01,-2.44857096633663,1.7644068193565,-0.47991,2.92162,0.30415,0.77905,0.00247,-0.41368,-0.42997,0.78841,1.18388
2015-12-01,-1.82120329102158,2.06179549048224,-0.22664,2.24636,0.67781,0.6672,-0.65963,-0.34209,0.01132,0.03281,2.31278
2016-01-01,-2.86008129862761,2.28899346204104,0.33187,2.32996,1.27873,1.14256,-0.0403,-0.14369,0.06492,0.89344,2.33452
2016-02-01,-2.11439964511513,2.28220633412683,-0.0048,2.3288,0.93599,1.22645,0.57929,0.35714,0.01132,1.15539,0.92876
2016-03-01,-2.60335367142237,1.94386638664854,-0.0048,1.81122,0.38642,1.25441,0.72435,0.01774,-0.40317,0.89344,1.09837
2016-04-01,-2.54251217341121,1.84138779865076,1.02882,1.76679,0.44415,1.17053,-0.37811,-0.43193,-0.40317,0.60604,0.59081
2016-05-01,-2.98761780486233,1.97207922093156,0.46559,1.72586,0.44415,1.28238,-0.57111,-0.01907,-0.29598,1.04782,0.56254
2016-06-01,-2.5539903129629,1.68848332219887,-0.39178,1.26166,-0.41496,1.39423,0.15789,0.32221,-0.40317,0.29475,-0.00226
2016-07-01,-2.58536198880866,1.25389701587442,-0.50271,0.62248,-0.04769,0.73088,1.10423,-0.77365,-0.40317,0.39978,-0.19887
2016-08-01,-2.69860729377446,1.84936204081608,-0.63642,0.61955,-0.04769,0.6685,1.07857,-0.90016,0.06492,0.18718,0.39222
