,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2014-02-01,-0.23833046610692696,0.32664721213795533,-0.2749568460980564,-0.10799501908695586,0.20925897944495198,0.06424948679317878,-0.4567731934690762,0.23653383575885933,0.4777322693674385,0.10385175066474954,-0.33728350758706677
2014-03-01,-0.6906427400568103,1.178053581744076,-0.2749568460980564,-0.024107163465956292,-0.07226258783288252,0.13583881300835735,0.1412612279771257,-0.02287433733906018,0.08126228256773771,0.24899055909503826,-0.4529562385136416
2014-04-01,-0.8896884900128673,1.2207321334667254,-0.4149560787796386,0.025357495183624634,-0.5711141119894233,0.10338020731288232,-0.058083579171608266,0.08215490511626396,0.22260694742614232,0.045600269196256454,-0.2994106877176168
2014-05-01,-0.7787677393328837,1.1382964380128082,-0.5908769107968,0.059780692155043266,-0.49884528423831936,0.33626002726749427,-0.35710078989470917,0.6315011862531689,0.3929254704523958,0.2085834933286563,-0.33728350758706677
2014-06-01,-0.6678469886529,0.631409363012572,-0.5908769107968,0.2275564033970424,-0.38082790695777413,0.14004423405185454,-0.5564455970434432,0.1871841475715881,-0.4815565280369449,-0.438696974745604,-0.5494685529929391
2014-07-01,-0.6906427400568103,0.5371185627598204,-0.5331442896007902,0.3953321146390415,0.10722407056101442,-0.3096299142082048,0.011317457538340332,0.3972426324822364,0.6880023829380794,0.34360256840534475,-0.892920697501433
2014-08-01,-1.7587464109818338,0.7049113616590362,-0.35722345758362867,-0.38632169135042244,0.7700042039850629,0.19352171895795686,-0.08835494603602669,-0.07475778584248614,-0.11534032381956077,-0.23929230377429386,-0.6129306145300087
2014-09-01,-0.39178471325516334,1.135375030021427,-0.35722345758362867,0.8629365382537549,2.477094057641894,0.050343066527599706,0.011317457538340332,0.4984757691729335,0.7328575913087347,1.7986448180400227,-0.7395360544930354
2014-10-01,-0.5908304632112203,1.6950414223918522,-0.4149560787796386,0.7510860640924222,0.5263259351920379,-0.12964342384030256,-0.4299737989847843,0.6035050116282576,0.3929254704523958,1.040954328948823,-0.7175899662191492
2014-11-01,-0.4799097125312367,1.8983334153575588,-0.04768767680785849,0.6392355899310894,-0.308297342393973,0.10570308989504076,0.011317457538340332,0.5290057041139995,1.0122821470004402,1.3089859737795837,-0.7995264182682615
2014-12-01,-0.6136262146151308,2.283197124005919,-0.008104761978437415,-0.19834345313904092,-0.8231313349471215,0.5166868617562161,0.4794081085457569,-0.17725326798165558,1.3252252592995661,1.00568472987261,-0.6869264644057732
2015-01-01,-0.5797219893768266,2.029459951350197,0.04962785921757247,0.8629365382537549,-0.21978430943356406,3.4331347343816234,0.06491624650692411,0.6315011862531689,0.7026038087264179,1.840099113044405,-0.15501838900340723
2015-02-01,-0.5797219893768266,1.6820192487529309,0.19235006032828658,0.7790486826327553,-0.4853234083147908,1.0217210333837166,-0.40317440450049236,0.893443119667243,1.1253578788871639,1.4431149580317102,-0.49004856554735965
2015-03-01,-0.30365971397909003,2.114817054795495,0.13461743913227667,0.9188617753344213,-0.2923148739973652,2.2284366034500755,-0.4299737989847843,0.893443119667243,0.5605542186718455,1.7204587270311564,-0.49004856554735965
2015-04-01,-0.39178471325516334,1.4312034840885908,-0.18130262556646712,1.399649569653502,0.2867107289549114,0.5187132114161279,0.011317457538340332,0.893443119667243,0.4757474197568027,1.568945441333503,-0.7320291171515473
2015-05-01,-0.30365971397909003,1.4756363749625343,-0.4149560787796386,0.3114442590180419,0.525206075989081,0.3387267210482255,-0.4299737989847843,0.7884138772119189,-0.14360925679124176,0.8160297228183043,-0.5425341656915634
2015-06-01,-0.5797219893768266,0.7475899133816856,-0.35722345758362867,0.42329473317937466,0.3186756657481268,0.7678223342184773,-0.4567731934690762,0.5821514980658976,-0.14360925679124176,0.3863943186736419,-0.6869264644057732
2015-07-01,-0.4034719908246799,0.7060784304991232,-0.29949083638761875,1.4501515276007517,-0.021854590169980273,1.3919880791860966,-0.4567731934690762,0.7947437432927005,0.8878697633504815,1.1616851673742494,-0.9679227622491697
2015-08-01,-0.5482969667429677,1.0096735125336531,-0.3817574478731911,-0.1905833615680901,0.906464642135295,-0.6326512458078913,-0.5564455970434432,0.14036821970047153,0.2791448133695042,0.2297700443646159,-1.1429785627767552
